date,platform,post_type,likes,shares,comments,views
2023-05-24,Twitter,image,868,238,352,8836
2023-02-23,Twitter,image,944,610,146,5554
2023-03-18,Instagram,image,1067,858,365,4018
2023-06-12,Twitter,text,780,427,100,6999
2023-02-03,Instagram,text,836,893,443,5802
2022-12-28,Facebook,text,2019,763,445,9926
2022-12-22,Instagram,text,2163,130,465,5323
2022-11-18,Twitter,image,912,357,191,8977
2023-01-09,Twitter,text,1746,NaN,356,null
2023-03-26,Twitter,video,515,216,380,7090
2023-09-17,Twitter,text,406,425,114,5499
2023-10-04,Facebook,text,1795,754,475,6476
2023-02-07,Instagram,text,1389,565,296,6916
2023-04-09,Twitter,image,1111,671,452,7902
2023-03-13,Twitter,image,911,659,239,9796
2023-05-26,Twitter,image,2123,289,475,7414
2023-06-11,Facebook,image,1672,419,493,5762
2023-08-30,Instagram,image,807,576,283,4258
2023-05-28,Instagram,video,1588,279,352,NaN
2023-02-14,Instagram,text,2196,575,370,6150
2023-01-18,Twitter,image,490,219,432,6694
2022-11-12,Twitter,text,2012,287,215,9056
2022-10-28,Facebook,video,515,433,423,7151
2023-08-17,Instagram,video,1912,159,337,8048
2023-06-02,Twitter,text,1032,135,434,8452
2023-01-11,Instagram,video,1233,307,254,4479
2023-08-15,Instagram,video,545,158,388,6084
2023-09-29,Facebook,image,1168,512,335,8673
2023-01-13,Facebook,text,2129,122,151,7305
2023-03-31,Instagram,video,2185,466,327,7601
2023-03-30,Twitter,image,1729,762,467,6448
2022-11-12,Twitter,text,677,177,211,9726
2023-03-12,Instagram,image,816,356,471,5057
2023-04-08,Twitter,video,1521,775,238,8046
2023-10-03,Instagram,text,2132,271,265,4835
2022-12-02,Facebook,video,2114,540,476,4921
2023-07-10,Facebook,video,NaN,895,341,5521
2023-05-01,Facebook,video,1295,810,184,9081
2023-08-21,Instagram,text,1780,432,319,6389
2023-04-10,Facebook,image,1097,812,170,7979
2023-02-18,Instagram,image,1717,213,237,7745
2023-08-29,Twitter,video,1369,293,237,7795
2022-12-18,Instagram,video,1778,204,447,9218
2022-12-07,Twitter,video,1257,636,457,9449
2023-05-16,Instagram,video,1349,336,391,5075
2023-06-17,Instagram,text,504,210,279,5346
2022-10-31,Instagram,video,1065,863,388,8486
2023-07-21,Facebook,text,1482,797,119,6665
2022-11-05,Facebook,image,1182,733,389,4684
2023-03-04,Instagram,video,1254,652,373,8320
2023-01-08,Facebook,video,682,859,327,7050
2022-12-05,Facebook,video,599,782,190,5729
2023-09-06,Instagram,image,865,554,263,4506
2023-03-12,Twitter,text,1458,528,369,7399
2023-02-13,Instagram,video,1650,601,206,4784
2023-07-22,Twitter,image,604,577,273,6304
2023-09-17,Facebook,image,427,510,312,4739
2023-08-31,Twitter,video,2129,395,258,4836
2023-01-02,Facebook,image,645,458,278,7397
2023-02-16,Instagram,text,640,559,NaN,7495
2023-03-26,Twitter,image,1682,708,161,4328
2023-03-13,Facebook,image,2180,383,463,4367
